PU_ID,pcd,oseast1m,osnrth1m,msoa01,lat,long,closest_Supermarket,mean_closest_3_Supermarket,mean_closest_5_Supermarket,Supermarket_count400m,Supermarket_count800m,Supermarket_count1km,Supermarket_count1.6km,Supermarket_count2km
1,BD1 1AA,416526,433330,E02002221,53.796019,-1.750599,0.20155644370746373,0.42307779416008934,0.6164281833126306,1,3,5,6,8
2,BD1 1AE,416502,433300,E02002221,53.79575,-1.750965,0.17000294115102832,0.40874929963011525,0.6178615962940881,2,3,5,6,8
3,BD1 1AF,416546,433216,E02002221,53.794994,-1.750301,0.09706183596038145,0.40965684680047687,0.6308491005709168,2,3,4,7,9
4,BD1 1AG,416352,433047,E02002221,53.793496,-1.753258,0.12,0.4095482725581583,0.7041397120163521,2,2,3,7,8
5,BD1 1AH,416620,433157,E02002221,53.794476,-1.749184,0.1220245876862528,0.4572562143923664,0.663653950511905,1,2,4,7,8
6,BD1 1AJ,416178,434065,E02002221,53.802636,-1.755843,0.1813201588351389,0.27496042487007905,0.5667062744677195,3,3,4,6,9
7,BD1 1AN,416555,433291,E02002221,53.795668,-1.75016,0.16981460479004745,0.42583569845748465,0.622217537271293,1,3,5,6,8
8,BD1 1AW,416500,433300,E02002221,53.79575,-1.750995,0.17000294115102832,0.40819157909147136,0.6178344674632641,2,3,5,6,8
9,BD1 1BA,416427,433015,E02002221,53.793191,-1.752118,0.13675159962501354,0.43381993950529135,0.7151344839145307,2,2,3,7,8
10,BD1 1BG,416580,433092,E02002221,53.793878,-1.749792,0.08766413177577247,0.44724979307278356,0.6795161594738577,2,2,4,7,8
11,BD1 1BL,416402,433123,E02002221,53.794163,-1.752492,0.09924716620639605,0.3816399924160943,0.6597540689998851,2,2,3,7,8
12,BD1 1BX,416500,433300,E02002221,53.79575,-1.750995,0.17000294115102832,0.40819157909147136,0.6178344674632641,2,3,5,6,8
13,BD1 1BZ,416488,433401,E02002221,53.796658,-1.751172,0.27131162894354527,0.4308305231685077,0.6124044407208927,1,3,6,6,8
14,BD1 1DA,416457,433102,E02002221,53.793972,-1.751658,0.052153619241621194,0.38813210296978745,0.6598177078862999,2,2,3,7,8
15,BD1 1DB,416500,433100,E02002221,53.793953,-1.751005,0.03001666203960727,0.3961130225445375,0.6583653110220096,2,2,4,7,8
16,BD1 1DD,416542,433171,E02002221,53.79459,-1.750364,0.0579827560572969,0.40370100609563636,0.6386941121997732,2,2,4,7,9
17,BD1 1DE,416534,433149,E02002221,53.794392,-1.750487,0.03807886552931954,0.39893589435474797,0.642464976046719,2,2,4,7,8
18,BD1 1DF,416530,433125,E02002221,53.794176,-1.750549,0.02942787793912432,0.40025247689811627,0.6499079985305992,2,2,4,7,8
19,BD1 1DG,416530,433125,E02002221,53.794176,-1.750549,0.02942787793912432,0.40025247689811627,0.6499079985305992,2,2,4,7,8
20,BD1 1DH,416615,433144,E02002221,53.794345,-1.749257,0.11485643212288985,0.4550248493770448,0.6668156478222533,2,2,4,7,9
21,BD1 1DJ,416594,433153,E02002221,53.794426,-1.749576,0.09580187889597991,0.4395977431685311,0.6573463054702783,2,2,4,7,9
22,BD1 1DL,416330,433119,E02002221,53.794129,-1.753585,0.12160592090848209,0.38715688019106725,0.6664630980409696,2,2,3,7,8
23,BD1 1DN,416594,433153,E02002221,53.794426,-1.749576,0.09580187889597991,0.4395977431685311,0.6573463054702783,2,2,4,7,9
24,BD1 1DP,416615,433091,E02002221,53.793868,-1.74926,0.12048651376813922,0.4596097410862423,0.6900856468563823,2,2,4,7,9
25,BD1 1DQ,416500,433100,E02002221,53.793953,-1.751005,0.03001666203960727,0.3961130225445375,0.6583653110220096,2,2,4,7,8
26,BD1 1DR,416675,433123,E02002221,53.794154,-1.748348,0.17414074767267998,0.47632427596909344,0.6943873174082126,1,2,4,7,8
27,BD1 1DT,416580,433092,E02002221,53.793878,-1.749792,0.08766413177577247,0.44724979307278356,0.6795161594738577,2,2,4,7,8
28,BD1 1DU,416602,433084,E02002221,53.793806,-1.749458,0.11098198051936178,0.4567676706563857,0.6898740257025798,2,2,4,7,8
29,BD1 1DW,416615,433144,E02002221,53.794345,-1.749257,0.11485643212288985,0.4550248493770448,0.6668156478222533,2,2,4,7,9
30,BD1 1DX,416600,433000,E02002221,53.793051,-1.749493,0.16340440630533806,0.4858245981145318,0.7398876309303807,2,2,4,7,8
31,BD1 1DY,416600,433000,E02002221,53.793051,-1.749493,0.16340440630533806,0.4858245981145318,0.7398876309303807,2,2,4,7,8
32,BD1 1DZ,416451,432977,E02002221,53.792849,-1.751756,0.16096272860510286,0.4654230741165672,0.7406930767195614,2,2,2,7,8
33,BD1 1EA,416457,433102,E02002221,53.793972,-1.751658,0.052153619241621194,0.38813210296978745,0.6598177078862999,2,2,3,7,8
34,BD1 1EB,416500,433000,E02002221,53.793054,-1.751011,0.13000384609695206,0.46230602561379136,0.7249132613834008,2,2,3,7,8
35,BD1 1ED,416538,433054,E02002221,53.793538,-1.750431,0.08452810183601664,0.4417820382187324,0.692265981985681,2,2,4,7,8
36,BD1 1EE,416499,433048,E02002221,53.793485,-1.751023,0.08202438661763951,0.42863746832259014,0.6917588368058172,2,2,4,7,8
37,BD1 1EF,416400,433000,E02002221,53.793057,-1.752529,0.16462381358722072,0.44051332567103973,0.7277130980745372,2,2,3,7,8
38,BD1 1EG,416476,433169,E02002221,53.794574,-1.751366,0.04632493928760188,0.3779041326404782,0.6337874809570557,2,2,4,7,8
39,BD1 1EH,416470,433151,E02002221,53.794412,-1.751458,0.03744329045369811,0.37646530525634964,0.6383260391319425,2,2,4,7,8
40,BD1 1EJ,416463,433117,E02002221,53.794122,-1.75157,0.0401621712560464,0.3824641291005685,0.6516080550819244,2,2,3,7,8
41,BD1 1EL,416400,433100,E02002221,53.793956,-1.752524,0.1053612832116238,0.3880100553573187,0.6697651054073037,2,2,3,7,8
42,BD1 1EP,416400,433100,E02002221,53.793956,-1.752524,0.1053612832116238,0.3880100553573187,0.6697651054073037,2,2,3,7,8
43,BD1 1EQ,416178,434065,E02002221,53.802636,-1.755843,0.1813201588351389,0.27496042487007905,0.5667062744677195,3,3,4,6,9
44,BD1 1ER,416457,433102,E02002221,53.793972,-1.751658,0.052153619241621194,0.38813210296978745,0.6598177078862999,2,2,3,7,8
45,BD1 1ES,416400,433100,E02002221,53.793956,-1.752524,0.1053612832116238,0.3880100553573187,0.6697651054073037,2,2,3,7,8
46,BD1 1ET,416400,433100,E02002221,53.793956,-1.752524,0.1053612832116238,0.3880100553573187,0.6697651054073037,2,2,3,7,8
47,BD1 1EU,416400,433100,E02002221,53.793956,-1.752524,0.1053612832116238,0.3880100553573187,0.6697651054073037,2,2,3,7,8
48,BD1 1EW,416400,433100,E02002221,53.793956,-1.752524,0.1053612832116238,0.3880100553573187,0.6697651054073037,2,2,3,7,8
49,BD1 1EX,416400,433100,E02002221,53.793956,-1.752524,0.1053612832116238,0.3880100553573187,0.6697651054073037,2,2,3,7,8
50,BD1 1EY,416510,433078,E02002221,53.793769,-1.750858,0.052773099207835045,0.41347211825449304,0.6730136042702058,2,2,4,7,8
51,BD1 1EZ,416488,433061,E02002221,53.793603,-1.75119,0.07021395872616783,0.4165757936030319,0.6827264544325717,2,2,3,7,8
52,BD1 1FB,416177,434017,E02002221,53.802205,-1.755861,0.22123742902140225,0.2854644281217413,0.5544547639844092,3,3,5,6,9
53,BD1 1FD,416488,433401,E02002221,53.796658,-1.751172,0.27131162894354527,0.4308305231685077,0.6124044407208927,1,3,6,6,8
54,BD1 1FF,416177,434017,E02002221,53.802205,-1.755861,0.22123742902140225,0.2854644281217413,0.5544547639844092,3,3,5,6,9
55,BD1 1FG,416330,433119,E02002221,53.794129,-1.753585,0.12160592090848209,0.38715688019106725,0.6664630980409696,2,2,3,7,8
56,BD1 1FH,416488,433401,E02002221,53.796658,-1.751172,0.27131162894354527,0.4308305231685077,0.6124044407208927,1,3,6,6,8
57,BD1 1FN,416488,433401,E02002221,53.796658,-1.751172,0.27131162894354527,0.4308305231685077,0.6124044407208927,1,3,6,6,8
58,BD1 1FW,416177,434017,E02002221,53.802205,-1.755861,0.22123742902140225,0.2854644281217413,0.5544547639844092,3,3,5,6,9
59,BD1 1HA,416476,433105,E02002221,53.794013,-1.751373,0.035355339059327376,0.38821096347693584,0.6560613892139902,2,2,4,7,8
60,BD1 1HB,416600,433000,E02002221,53.793051,-1.749493,0.16340440630533806,0.4858245981145318,0.7398876309303807,2,2,4,7,8
61,BD1 1HD,416300,432900,E02002226,53.792161,-1.754052,0.1619660458244258,0.5189740082350266,0.794241865680931,2,2,2,8,8
62,BD1 1HE,416400,432900,E02002221,53.792158,-1.752534,0.22323306206742763,0.5189546695343655,0.7829751088372731,2,2,2,7,8
63,BD1 1HH,416495,433011,E02002221,53.793153,-1.751086,0.11915116449284077,0.4526984977873443,0.7168612686396603,2,2,3,7,8
64,BD1 1HJ,416428,433053,E02002221,53.793533,-1.752101,0.10610372283760829,0.41043210433675154,0.6907416568182415,2,2,3,7,8
65,BD1 1HL,416400,433000,E02002221,53.793057,-1.752529,0.16462381358722072,0.44051332567103973,0.7277130980745372,2,2,3,7,8
66,BD1 1HN,416414,433061,E02002221,53.793605,-1.752313,0.1110405331399305,0.40492237777756424,0.6876558272934589,2,2,3,7,8
67,BD1 1HP,416300,433000,E02002221,53.79306,-1.754047,0.08266196223173025,0.4374300154946259,0.7374233690691377,2,2,3,7,8
68,BD1 1HQ,416400,433000,E02002221,53.793057,-1.752529,0.16462381358722072,0.44051332567103973,0.7277130980745372,2,2,3,7,8
69,BD1 1HR,416400,432900,E02002221,53.792158,-1.752534,0.22323306206742763,0.5189546695343655,0.7829751088372731,2,2,2,7,8
70,BD1 1HS,416400,432900,E02002221,53.792158,-1.752534,0.22323306206742763,0.5189546695343655,0.7829751088372731,2,2,2,7,8
71,BD1 1HT,416400,432900,E02002221,53.792158,-1.752534,0.22323306206742763,0.5189546695343655,0.7829751088372731,2,2,2,7,8
72,BD1 1HU,416400,432900,E02002221,53.792158,-1.752534,0.22323306206742763,0.5189546695343655,0.7829751088372731,2,2,2,7,8
73,BD1 1HW,416414,433061,E02002221,53.793605,-1.752313,0.1110405331399305,0.40492237777756424,0.6876558272934589,2,2,3,7,8
74,BD1 1HX,416451,432977,E02002221,53.792849,-1.751756,0.16096272860510286,0.4654230741165672,0.7406930767195614,2,2,2,7,8
75,BD1 1HY,416350,432917,E02002221,53.792313,-1.753292,0.17556765077883796,0.5015089269065245,0.7796857792438725,2,2,2,7,8
76,BD1 1HZ,416364,432962,E02002221,53.792717,-1.753077,0.157,0.4652699754270533,0.7574298533643402,2,2,2,7,8
77,BD1 1JA,416609,432947,E02002221,53.792574,-1.749359,0.21249235280357737,0.5140844753797128,0.7783123422297152,2,2,3,7,8
78,BD1 1JB,416427,433015,E02002221,53.793191,-1.752118,0.13675159962501354,0.43381993950529135,0.7151344839145307,2,2,3,7,8
79,BD1 1JD,416421,433010,E02002221,53.793146,-1.752209,0.14422205101855956,0.436308998665902,0.7189719327622648,2,2,3,7,8
80,BD1 1JE,416471,432850,E02002221,53.791707,-1.751459,0.2816025568065745,0.5663278076303666,0.8053821572686222,2,2,2,7,8
81,BD1 1JF,416461,433005,E02002221,53.7931,-1.751603,0.13124404748406687,0.4472540210803185,0.7204731460622353,2,2,3,7,8
82,BD1 1JG,416400,433000,E02002221,53.793057,-1.752529,0.16462381358722072,0.44051332567103973,0.7277130980745372,2,2,3,7,8
83,BD1 1JJ,416300,433100,E02002221,53.793959,-1.754042,0.08621484790916237,0.39353611277814426,0.674432970491471,2,2,3,7,8
84,BD1 1JL,416176,434018,E02002221,53.802228,-1.75588,0.22090722034374521,0.28536137892151175,0.5548605447130875,3,3,5,6,9
85,BD1 1JN,416456,432963,E02002221,53.792723,-1.751681,0.1729566419655516,0.47723566363618364,0.7509161581387808,2,2,2,7,8
