name,pointx_class,feature_easting,feature_northing,street_name,locality,geographic_county,postcode,admin_boundary,brand,FEATClass
The Little Sweet Shop,9470663,421763,432926,Town Centre,Pudsey,West Yorkshire,LS28 7RZ,Leeds District,NA,Speciality Outlets
Ozzy's Bistro,1020013,422014,434380,Town Centre,Pudsey,West Yorkshire,LS28 6AT,Leeds District,NA,Cafes
Shaunie's Snack Shack,1020018,417654,435643,Town Centre,Bradford,West Yorkshire,BD2 4ST,Bradford District,NA,Takeaways
Express Clayton Grill,1020018,413953,432357,Town Centre,Bradford,West Yorkshire,BD7 2RD,Bradford District,NA,Takeaways
Al Ghaza,1020018,414325,433474,Town Centre,Bradford,West Yorkshire,BD8 9AP,Bradford District,NA,Takeaways
Zid & Taz,9470699,414986,432222,All Saints Road,Bradford,West Yorkshire,BD7 3AZ,Bradford District,NA,NA
99 & Main,1020034,410739,439161,Town Centre,Bingley,West Yorkshire,BD16 2HT,Bradford District,NA,Restaurants
Londis,9470699,417521,433426,Laisterdyke,Bradford,West Yorkshire,BD3 9BD,Bradford District,Londis,Convenience Stores
Greene King Local Pubs,1020034,416159,446868,Town Centre,Ilkley,West Yorkshire,LS29 7HR,Bradford District,Greene King,Restaurants
Spice Village,1020018,409075,426078,Town Centre,Halifax,West Yorkshire,HX3 6AD,Calderdale District,NA,Takeaways
Vip,9470699,406162,441170,Town Centre,Keighley,West Yorkshire,BD21 3QQ,Bradford District,VIP,Convenience Stores
Winston Churchill,1020034,417619,431951,Weaverthorpe,Bradford,West Yorkshire,BD4 7EJ,Bradford District,NA,Restaurants
Icandiart Lounge,1020013,420237,445401,Town Centre,Otley,West Yorkshire,LS21 3HE,Leeds District,NA,Cafes
H & A News,9470699,419249,425047,Town Centre,Cleckheaton,West Yorkshire,BD19 3RU,Kirklees District,NA,NA
The Red Lion,1020034,419361,442128,Guiseley,Leeds,West Yorkshire,LS20 9BT,Leeds District,NA,Restaurants
Zana Steakhouse,1020018,413961,434404,Town Centre,Bradford,West Yorkshire,BD9 5ET,Bradford District,NA,Takeaways
Happy Panda,1020018,405418,440678,Town Centre,Keighley,West Yorkshire,BD21 1QX,Bradford District,NA,Takeaways
1904 @ Dean Clough,1020034,408734,425843,Town Centre,Halifax,West Yorkshire,HX3 5AY,Calderdale District,NA,Restaurants
Engine Room,1020013,409125,425761,Town Centre,Halifax,West Yorkshire,HX3 5AX,Calderdale District,NA,Cafes
