PU_ID,pcd,oseast1m,osnrth1m,oslaua,msoa01,lat,long
1,BD1 1AA,416526,433330,E08000032,E02002221,53.796019,-1.750599
2,BD1 1AE,416502,433300,E08000032,E02002221,53.79575,-1.750965
3,BD1 1AF,416546,433216,E08000032,E02002221,53.794994,-1.750301
4,BD1 1AG,416352,433047,E08000032,E02002221,53.793496,-1.753258
5,BD1 1AH,416620,433157,E08000032,E02002221,53.794476,-1.749184
6,BD1 1AJ,416178,434065,E08000032,E02002221,53.802636,-1.755843
7,BD1 1AN,416555,433291,E08000032,E02002221,53.795668,-1.75016
8,BD1 1AW,416500,433300,E08000032,E02002221,53.79575,-1.750995
9,BD1 1BA,416427,433015,E08000032,E02002221,53.793191,-1.752118
10,BD1 1BG,416580,433092,E08000032,E02002221,53.793878,-1.749792
11,BD1 1BL,416402,433123,E08000032,E02002221,53.794163,-1.752492
12,BD1 1BX,416500,433300,E08000032,E02002221,53.79575,-1.750995
13,BD1 1BZ,416488,433401,E08000032,E02002221,53.796658,-1.751172
14,BD1 1DA,416457,433102,E08000032,E02002221,53.793972,-1.751658
15,BD1 1DB,416500,433100,E08000032,E02002221,53.793953,-1.751005
16,BD1 1DD,416542,433171,E08000032,E02002221,53.79459,-1.750364
17,BD1 1DE,416534,433149,E08000032,E02002221,53.794392,-1.750487
18,BD1 1DF,416530,433125,E08000032,E02002221,53.794176,-1.750549
19,BD1 1DG,416530,433125,E08000032,E02002221,53.794176,-1.750549
20,BD1 1DH,416615,433144,E08000032,E02002221,53.794345,-1.749257
21,BD1 1DJ,416594,433153,E08000032,E02002221,53.794426,-1.749576
22,BD1 1DL,416330,433119,E08000032,E02002221,53.794129,-1.753585
23,BD1 1DN,416594,433153,E08000032,E02002221,53.794426,-1.749576
24,BD1 1DP,416615,433091,E08000032,E02002221,53.793868,-1.74926
25,BD1 1DQ,416500,433100,E08000032,E02002221,53.793953,-1.751005
26,BD1 1DR,416675,433123,E08000032,E02002221,53.794154,-1.748348
27,BD1 1DT,416580,433092,E08000032,E02002221,53.793878,-1.749792
28,BD1 1DU,416602,433084,E08000032,E02002221,53.793806,-1.749458
29,BD1 1DW,416615,433144,E08000032,E02002221,53.794345,-1.749257
30,BD1 1DX,416600,433000,E08000032,E02002221,53.793051,-1.749493
31,BD1 1DY,416600,433000,E08000032,E02002221,53.793051,-1.749493
32,BD1 1DZ,416451,432977,E08000032,E02002221,53.792849,-1.751756
33,BD1 1EA,416457,433102,E08000032,E02002221,53.793972,-1.751658
34,BD1 1EB,416500,433000,E08000032,E02002221,53.793054,-1.751011
35,BD1 1ED,416538,433054,E08000032,E02002221,53.793538,-1.750431
36,BD1 1EE,416499,433048,E08000032,E02002221,53.793485,-1.751023
37,BD1 1EF,416400,433000,E08000032,E02002221,53.793057,-1.752529
38,BD1 1EG,416476,433169,E08000032,E02002221,53.794574,-1.751366
39,BD1 1EH,416470,433151,E08000032,E02002221,53.794412,-1.751458
40,BD1 1EJ,416463,433117,E08000032,E02002221,53.794122,-1.75157
41,BD1 1EL,416400,433100,E08000032,E02002221,53.793956,-1.752524
42,BD1 1EP,416400,433100,E08000032,E02002221,53.793956,-1.752524
43,BD1 1EQ,416178,434065,E08000032,E02002221,53.802636,-1.755843
44,BD1 1ER,416457,433102,E08000032,E02002221,53.793972,-1.751658
45,BD1 1ES,416400,433100,E08000032,E02002221,53.793956,-1.752524
46,BD1 1ET,416400,433100,E08000032,E02002221,53.793956,-1.752524
47,BD1 1EU,416400,433100,E08000032,E02002221,53.793956,-1.752524
48,BD1 1EW,416400,433100,E08000032,E02002221,53.793956,-1.752524
49,BD1 1EX,416400,433100,E08000032,E02002221,53.793956,-1.752524
50,BD1 1EY,416510,433078,E08000032,E02002221,53.793769,-1.750858
51,BD1 1EZ,416488,433061,E08000032,E02002221,53.793603,-1.75119
52,BD1 1FB,416177,434017,E08000032,E02002221,53.802205,-1.755861
53,BD1 1FD,416488,433401,E08000032,E02002221,53.796658,-1.751172
54,BD1 1FF,416177,434017,E08000032,E02002221,53.802205,-1.755861
55,BD1 1FG,416330,433119,E08000032,E02002221,53.794129,-1.753585
56,BD1 1FH,416488,433401,E08000032,E02002221,53.796658,-1.751172
57,BD1 1FN,416488,433401,E08000032,E02002221,53.796658,-1.751172
58,BD1 1FW,416177,434017,E08000032,E02002221,53.802205,-1.755861
59,BD1 1HA,416476,433105,E08000032,E02002221,53.794013,-1.751373
60,BD1 1HB,416600,433000,E08000032,E02002221,53.793051,-1.749493
61,BD1 1HD,416300,432900,E08000032,E02002226,53.792161,-1.754052
62,BD1 1HE,416400,432900,E08000032,E02002221,53.792158,-1.752534
63,BD1 1HH,416495,433011,E08000032,E02002221,53.793153,-1.751086
64,BD1 1HJ,416428,433053,E08000032,E02002221,53.793533,-1.752101
65,BD1 1HL,416400,433000,E08000032,E02002221,53.793057,-1.752529
66,BD1 1HN,416414,433061,E08000032,E02002221,53.793605,-1.752313
67,BD1 1HP,416300,433000,E08000032,E02002221,53.79306,-1.754047
68,BD1 1HQ,416400,433000,E08000032,E02002221,53.793057,-1.752529
69,BD1 1HR,416400,432900,E08000032,E02002221,53.792158,-1.752534
70,BD1 1HS,416400,432900,E08000032,E02002221,53.792158,-1.752534
71,BD1 1HT,416400,432900,E08000032,E02002221,53.792158,-1.752534
