name,pointx_class,feature_easting,feature_northing,street_name,locality,geographic_county,postcode,admin_boundary,brand,FEATClass
The Little Sweet Shop,9470663,421763,432926,Town Centre,Pudsey,West Yorkshire,LS28 7RZ,Leeds District,,Speciality Outlets
Convive,1020034,426932,438040,,Leeds,West Yorkshire,LS16 5PS,Leeds District,,Restaurants
The Queens Head,1020034,437597,400564,,Barnsley,South Yorkshire,S74 9RR,Barnsley District,,Restaurants
Cupalicious,1020013,427789,420292,Town Centre,Ossett,West Yorkshire,WF5 8NS,Wakefield District,,Cafes
Sue's Fish & Chips,1020020,390102,398656,,Manchester,Greater Manchester,M43 7UQ,Tameside District,,Takeaways
Cafe Barm,1020013,388459,400075,Failsworth,Manchester,Greater Manchester,M40 1LY,Manchester District,,Cafes
Th'Alma,1020034,410215,414431,Edge Hill,Huddersfield,West Yorkshire,HD7 5TD,Kirklees District,,Restaurants
Londis,9470699,417549,420620,Moldgreen,Huddersfield,West Yorkshire,HD5 0RP,Kirklees District,Londis,Convenience Stores
Supreme Vapes,9470699,414501,417823,Bradford Road,Huddersfield,West Yorkshire,HD1 6EA,Kirklees District,,Convenience Stores
Caspian Grill and Fish Bar,1020020,413422,415264,Town Centre,Huddersfield,West Yorkshire,HD1 3UB,Kirklees District,,Takeaways
The Junction,1020034,413219,417209,Town Centre,Huddersfield,West Yorkshire,HD1 4LE,Kirklees District,,Restaurants
Londis,9470699,410134,414318,Town Centre,Huddersfield,West Yorkshire,HD7 5SH,Kirklees District,Londis,Convenience Stores
Key Store,9470699,437167,400906,Town Centre,Barnsley,South Yorkshire,S74 0ET,Barnsley District,Key Store,Convenience Stores
Potters,1020034,436838,400106,,Barnsley,South Yorkshire,S74 0HR,Barnsley District,,Restaurants
Ozzy's Bistro,1020013,422014,434380,Town Centre,Pudsey,West Yorkshire,LS28 6AT,Leeds District,,Cafes
Manchester Plaza Shopping Mall,9470705,383891,401839,Moston,Manchester,Greater Manchester,M8,Manchester District,,Speciality Outlets
Hill Side Cafe,1020013,385954,404013,Higher Blackley,Manchester,Greater Manchester,M9 6RG,Manchester District,,Cafes
Stables Pub,1020034,426932,438040,,Leeds,West Yorkshire,LS16 5PS,Leeds District,,Restaurants
Grilleria,1020018,424250,438979,,Leeds,West Yorkshire,LS18 5NT,Leeds District,,Takeaways
