PU_ID,pcd,oseast1m,osnrth1m,msoa01,lat,long,cls_Sup,cls_Tway,cls_ConSt,cls_Spec,mean3_Sup,mean3_Tway,mean5_ConSt,Spec_ct400,mean5_Sup,mean5_Tway,ConSt_ct800,Spec_ct1600,Sup_ct400,Sup_ct800,Sup_ct1000,Sup_ct1600,Sup_ct2000,Tway_ct400,Tway_ct800,Tway_ct1000,Tway_ct1600,Tway_ct2000,mean3_ConSt,ConSt_ct400,ConSt_ct1000,ConSt_ct1600,ConSt_ct2000,mean3_Spec,mean5_Spec,Spec_ct800,Spec_ct1000,Spec_ct2000
1,BD4 0AA,419241,430948,E02002234,53.774517,-1.70953,1.0893052831965886,0.43941096936694696,0.4560394719758368,0.42871175631184566,1.296784358786177,0.4653003345333375,0.9602402976384566,0,1.296784358786177,0.550119160556646,3,14,0,0,0,2,2,0,15,22,39,45,0.580216235564124,0,3,4,5,0.5275493232334145,0.6148504811690317,5,9,14
2,BD4 0AB,419321,430957,E02002234,53.774595,-1.708316,1.0722914715691811,0.45880823881007193,0.470851356587193,0.39473629171890823,1.3284839022261625,0.48540719157790524,1.0019817033768204,1,1.3284839022261625,0.5842345061876811,3,14,0,0,0,2,2,0,14,22,39,45,0.5988164924137968,0,3,4,5,0.5283530176288811,0.6293049593074372,5,9,14
3,BD4 0AD,419412,430941,E02002234,53.774448,-1.706936,1.034379040777606,0.4719364363979539,0.4783576068173266,0.3687263755144147,1.3533299511777894,0.5290619421526173,1.038595207573411,1,1.3533299511777894,0.6186982664263632,3,13,0,0,0,1,2,0,14,18,38,44,0.6075658663057444,0,3,4,5,0.5485034335829357,0.6536619650276732,4,7,14
4,BD4 0AE,419465,431052,E02002234,53.775444,-1.706125,1.1344822607692022,0.49857095783850064,0.6009359366854341,0.246727258323839,1.4389005363454341,0.5351365117185215,1.1475386223466104,1,1.4389005363454341,0.6711332249588107,2,13,0,0,0,1,2,0,3,18,37,43,0.7300808324086159,0,3,3,5,0.5235949348468031,0.6718184087635485,2,6,14
5,BD4 0AF,419537,431030,E02002234,53.775243,-1.705034,1.1045913271432108,0.5666224492552339,0.6111824604813199,0.2585055898815344,1.457241363600061,0.5849795955111,1.1761155573113569,1,1.457241363600061,0.7033464393647381,2,12,0,0,0,1,2,0,3,17,37,43,0.7390947141839922,0,3,3,5,0.5662076244359555,0.7061511566602752,2,6,15
6,BD4 0AG,419710,431137,E02002234,53.776199,-1.702402,1.210917007891127,0.6574595044563581,0.7939735511967637,0.23124087009005148,1.210917007891127,0.7066641334160079,1.1716129037256524,1,1.210917007891127,0.8450717830397264,1,12,0,0,0,1,1,0,3,3,34,43,0.918824977035209,0,2,3,4,0.6444882843146386,0.8172634284508802,2,2,15
7,BD4 0AH,419514,431116,E02002234,53.776017,-1.705377,1.1922722004643067,0.49571967885086027,0.6787230657639388,0.17381006875322125,1.4985364382196744,0.5589893741714561,1.221913833639104,1,1.4985364382196744,0.7146754064662684,2,13,0,0,0,1,2,0,3,17,40,43,0.8076710734202659,0,3,3,5,0.5080157653021014,0.6931548504192948,2,5,14
8,BD4 0AJ,419500,431100,E02002234,53.775874,-1.705591,1.177759313272453,0.49381170500505556,0.6585385334207863,0.19177679734524503,1.482669995586023,0.5510327037599799,1.2022217745846535,1,1.482669995586023,0.7034281123428721,2,13,0,0,0,1,2,0,3,17,38,43,0.7875579568962359,0,3,3,5,0.510139135915419,0.6864808349947367,2,5,14
9,BD4 0AL,419500,431100,E02002234,53.775874,-1.705591,1.177759313272453,0.49381170500505556,0.6585385334207863,0.19177679734524503,1.482669995586023,0.5510327037599799,1.2022217745846535,1,1.482669995586023,0.7034281123428721,2,13,0,0,0,1,2,0,3,17,38,43,0.7875579568962359,0,3,3,5,0.510139135915419,0.6864808349947367,2,5,14
10,BD4 0AN,419500,431100,E02002234,53.775874,-1.705591,1.177759313272453,0.49381170500505556,0.6585385334207863,0.19177679734524503,1.482669995586023,0.5510327037599799,1.2022217745846535,1,1.482669995586023,0.7034281123428721,2,13,0,0,0,1,2,0,3,17,38,43,0.7875579568962359,0,3,3,5,0.510139135915419,0.6864808349947367,2,5,14
