PU_ID,pcd,oseast1m,osnrth1m,msoa01,lat,long,closest_Supermarket,mean_closest_3_Supermarket,mean_closest_5_Supermarket,Supermarket_count400m,Supermarket_count800m,Supermarket_count1km,Supermarket_count1.6km,Supermarket_count2km
1,BD4 0AA,419241,430948,E02002234,53.774517,-1.70953,1.504263434375765,1.504263434375765,1.504263434375765,0,0,0,1,1
2,BD4 0AB,419321,430957,E02002234,53.774595,-1.708316,1.5846763328831441,1.5846763328831441,1.5846763328831441,0,0,0,1,1
3,BD4 0AD,419412,430941,E02002234,53.774448,-1.706936,1.6722808615779727,1.6722808615779727,1.6722808615779727,0,0,0,0,1
4,BD4 0AE,419465,431052,E02002234,53.775444,-1.706125,1.7433188119216658,1.7433188119216658,1.7433188119216658,0,0,0,0,1
5,BD4 0AF,419537,431030,E02002234,53.775243,-1.705034,1.809891400056911,1.809891400056911,1.809891400056911,0,0,0,0,1
6,BD4 0AG,419710,431137,E02002234,53.776199,-1.702402,NA,NA,NA,NA,NA,NA,NA,NA
7,BD4 0AH,419514,431116,E02002234,53.776017,-1.705377,1.804800675975042,1.804800675975042,1.804800675975042,0,0,0,0,1
8,BD4 0AJ,419500,431100,E02002234,53.775874,-1.705591,1.7875806778995929,1.7875806778995929,1.7875806778995929,0,0,0,0,1
9,BD4 0AL,419500,431100,E02002234,53.775874,-1.705591,1.7875806778995929,1.7875806778995929,1.7875806778995929,0,0,0,0,1
10,BD4 0AN,419500,431100,E02002234,53.775874,-1.705591,1.7875806778995929,1.7875806778995929,1.7875806778995929,0,0,0,0,1
11,BD4 0AP,419294,431783,E02002234,53.78202,-1.708674,1.876975034463695,1.876975034463695,1.876975034463695,0,0,0,0,1
12,BD4 0AQ,419450,431073,E02002234,53.775633,-1.706351,1.7329341822469682,1.7329341822469682,1.7329341822469682,0,0,0,0,1
13,BD4 0AR,419600,431100,E02002234,53.77587,-1.704073,1.8852598441594108,1.8852598441594108,1.8852598441594108,0,0,0,0,1
14,BD4 0AT,419735,431205,E02002234,53.776809,-1.702018,NA,NA,NA,NA,NA,NA,NA,NA
15,BD4 0AU,419600,431100,E02002234,53.77587,-1.704073,1.8852598441594108,1.8852598441594108,1.8852598441594108,0,0,0,0,1
16,BD4 0AW,419500,431100,E02002234,53.775874,-1.705591,1.7875806778995929,1.7875806778995929,1.7875806778995929,0,0,0,0,1
17,BD4 0AX,419249,431833,E02002234,53.782471,-1.709354,1.869967454262237,1.869967454262237,1.869967454262237,0,0,0,0,1
18,BD4 0AY,419227,431804,E02002234,53.782211,-1.70969,1.8349660705310034,1.8349660705310034,1.8349660705310034,0,0,0,0,1
19,BD4 0AZ,419583,431170,E02002234,53.7765,-1.704327,1.8846093706654354,1.8846093706654354,1.8846093706654354,0,0,0,0,1
20,BD4 0BB,419407,431143,E02002234,53.776264,-1.706999,1.7074574899539876,1.7074574899539876,1.7074574899539876,0,0,0,0,1
21,BD4 0BD,419355,431107,E02002234,53.775942,-1.707791,1.6481266577541824,1.6481266577541824,1.6481266577541824,0,0,0,0,1
22,BD4 0BE,419396,431108,E02002234,53.77595,-1.707168,1.68816630697333,1.68816630697333,1.68816630697333,0,0,0,0,1
23,BD4 0BG,419380,431056,E02002234,53.775483,-1.707414,1.6609235623591985,1.6609235623591985,1.6609235623591985,0,0,0,0,1
24,BD4 0BH,419266,431028,E02002234,53.775235,-1.709146,1.5435885073425404,1.5435885073425404,1.5435885073425404,0,0,0,1,1
25,BD4 0BJ,419225,431293,E02002234,53.777619,-1.709752,1.5814562529516836,1.5814562529516836,1.5814562529516836,0,0,0,1,1
26,BD4 0BL,419256,431244,E02002234,53.777177,-1.709284,1.5931051063881434,1.5931051063881434,1.5931051063881434,0,0,0,1,1
27,BD4 0BQ,419349,431017,E02002234,53.775134,-1.707887,1.6227248318799987,1.6227248318799987,1.6227248318799987,0,0,0,0,1
28,BD4 0BS,419292,431250,E02002234,53.77723,-1.708738,1.629032805071763,1.629032805071763,1.629032805071763,0,0,0,0,1
29,BD4 0BT,419329,431231,E02002234,53.777058,-1.708177,1.6578556873262449,1.6578556873262449,1.6578556873262449,0,0,0,0,1
30,BD4 0BU,419355,431250,E02002234,53.777227,-1.707782,1.6885578698996297,1.6885578698996297,1.6885578698996297,0,0,0,0,1
31,BD4 0BX,419383,431235,E02002234,53.777092,-1.707358,1.7104015551910534,1.7104015551910534,1.7104015551910534,0,0,0,0,1
32,BD4 0BY,419394,431267,E02002234,53.777379,-1.707189,1.7309572149536148,1.7309572149536148,1.7309572149536148,0,0,0,0,1
33,BD4 0BZ,419433,431310,E02002234,53.777764,-1.706594,1.7819956453369843,1.7819956453369843,1.7819956453369843,0,0,0,0,1
34,BD4 0DA,419522,431281,E02002234,53.7775,-1.705246,1.8568132054678983,1.8568132054678983,1.8568132054678983,0,0,0,0,1
35,BD4 0DB,419541,431338,E02002234,53.778012,-1.704954,1.8931255848463866,1.8931255848463866,1.8931255848463866,0,0,0,0,1
36,BD4 0DE,419558,431424,E02002234,53.778784,-1.70469,1.9392934486559723,1.9392934486559723,1.9392934486559723,0,0,0,0,1
37,BD4 0DF,419522,431487,E02002234,53.779351,-1.705233,1.9304822402705435,1.9304822402705435,1.9304822402705435,0,0,0,0,1
38,BD4 0DG,419400,431400,E02002234,53.778574,-1.707089,1.7839856165339387,1.7839856165339387,1.7839856165339387,0,0,0,0,1
39,BD4 0DH,419400,431400,E02002234,53.778574,-1.707089,1.7839856165339387,1.7839856165339387,1.7839856165339387,0,0,0,0,1
40,BD4 0DJ,419390,431386,E02002234,53.778449,-1.707242,1.7693544246419308,1.7693544246419308,1.7693544246419308,0,0,0,0,1
41,BD4 0DL,419352,431302,E02002234,53.777695,-1.707824,1.703185450853775,1.703185450853775,1.703185450853775,0,0,0,0,1
42,BD4 0DN,419263,431340,E02002234,53.77804,-1.709172,1.6344382765953505,1.6344382765953505,1.6344382765953505,0,0,0,0,1
43,BD4 0DP,419332,431378,E02002234,53.778379,-1.708123,1.7127916043698892,1.7127916043698892,1.7127916043698892,0,0,0,0,1
44,BD4 0DQ,419400,431400,E02002234,53.778574,-1.707089,1.7839856165339387,1.7839856165339387,1.7839856165339387,0,0,0,0,1
45,BD4 0DR,419273,431425,E02002234,53.778818,-1.709019,1.6782411864806503,1.6782411864806503,1.6782411864806503,0,0,0,0,1
46,BD4 0DS,419210,431409,E02002234,53.778662,-1.709972,1.6145027965290064,1.6145027965290064,1.6145027965290064,0,0,0,0,1
47,BD4 0DW,419311,431317,E02002234,53.777831,-1.708445,1.670253597511461,1.670253597511461,1.670253597511461,0,0,0,0,1
48,BD4 0DX,419349,431782,E02002234,53.782009,-1.70784,1.9217353824083034,1.9217353824083034,1.9217353824083034,0,0,0,0,1
49,BD4 0DY,419350,431708,E02002234,53.781344,-1.707829,1.8821795557278762,1.8821795557278762,1.8821795557278762,0,0,0,0,1
50,BD4 0DZ,419296,431639,E02002234,53.780726,-1.708653,1.7999946888810494,1.7999946888810494,1.7999946888810494,0,0,0,0,1
51,BD4 0EA,419294,431599,E02002234,53.780367,-1.708686,1.777877858571838,1.777877858571838,1.777877858571838,0,0,0,0,1
52,BD4 0EB,419384,431639,E02002234,53.780723,-1.707317,1.8758277319626087,1.8758277319626087,1.8758277319626087,0,0,0,0,1
53,BD4 0ED,419384,431712,E02002234,53.781379,-1.707313,1.9131544318219544,1.9131544318219544,1.9131544318219544,0,0,0,0,1
54,BD4 0EE,419422,431776,E02002234,53.781953,-1.706732,1.9794136202421124,1.9794136202421124,1.9794136202421124,0,0,0,0,1
55,BD4 0EF,419383,431792,E02002234,53.782098,-1.707323,1.9555401504443695,1.9555401504443695,1.9555401504443695,0,0,0,0,1
56,BD4 0EG,419406,431828,E02002234,53.782421,-1.706972,1.994725414687442,1.994725414687442,1.994725414687442,0,0,0,0,1
57,BD4 0EH,419479,431817,E02002234,53.782319,-1.705864,NA,NA,NA,NA,NA,NA,NA,NA
58,BD4 0EJ,419481,431809,E02002234,53.782247,-1.705835,NA,NA,NA,NA,NA,NA,NA,NA
59,BD4 0EL,419452,431831,E02002234,53.782446,-1.706273,NA,NA,NA,NA,NA,NA,NA,NA
60,BD4 0EN,419424,431848,E02002234,53.7826,-1.706697,NA,NA,NA,NA,NA,NA,NA,NA
61,BD4 0EP,419356,431862,E02002234,53.782728,-1.707728,1.973283324816786,1.973283324816786,1.973283324816786,0,0,0,0,1
62,BD4 0EQ,419489,431768,E02002234,53.781878,-1.705716,NA,NA,NA,NA,NA,NA,NA,NA
63,BD4 0ER,419354,431868,E02002234,53.782782,-1.707758,1.975183606655338,1.975183606655338,1.975183606655338,0,0,0,0,1
64,BD4 0ES,419293,431816,E02002234,53.782317,-1.708687,1.8952780482029516,1.8952780482029516,1.8952780482029516,0,0,0,0,1
65,BD4 0ET,419200,431800,E02002234,53.782177,-1.7101,1.8109789286460491,1.8109789286460491,1.8109789286460491,0,0,0,0,1
66,BD4 0EU,419200,431800,E02002234,53.782177,-1.7101,1.8109789286460491,1.8109789286460491,1.8109789286460491,0,0,0,0,1
67,BD4 0EW,419389,431862,E02002234,53.782727,-1.707228,NA,NA,NA,NA,NA,NA,NA,NA
68,BD4 0EX,419200,431800,E02002234,53.782177,-1.7101,1.8109789286460491,1.8109789286460491,1.8109789286460491,0,0,0,0,1
69,BD4 0EY,419200,431800,E02002234,53.782177,-1.7101,1.8109789286460491,1.8109789286460491,1.8109789286460491,0,0,0,0,1
70,BD4 0EZ,419252,431793,E02002234,53.782112,-1.709311,1.8485800172023905,1.8485800172023905,1.8485800172023905,0,0,0,0,1
71,BD4 0HA,419189,431814,E02002234,53.782303,-1.710266,1.8107478234144014,1.8107478234144014,1.8107478234144014,0,0,0,0,1
72,BD4 0HB,419137,431854,E02002234,53.782664,-1.711052,1.7951814615798578,1.7951814615798578,1.7951814615798578,0,0,0,0,1
73,BD4 0HG,419701,430830,E02002234,53.77344,-1.702558,1.948698355313094,1.948698355313094,1.948698355313094,0,0,0,0,1
74,BD4 0HH,419251,430812,E02002234,53.773295,-1.709387,1.4984972739381168,1.4984972739381168,1.4984972739381168,0,0,0,1,1
75,BD4 0HJ,419295,430829,E02002234,53.773446,-1.708718,1.5436444797944786,1.5436444797944786,1.5436444797944786,0,0,0,1,1
76,BD4 0HL,419285,430732,E02002234,53.772574,-1.708876,1.5290076782017692,1.5290076782017692,1.5290076782017692,0,0,0,1,1
77,BD4 0HN,419299,430766,E02002234,53.772879,-1.708662,1.5439353872490797,1.5439353872490797,1.5439353872490797,0,0,0,1,1
78,BD4 0HP,419355,430740,E02002234,53.772644,-1.707813,1.5991446713790356,1.5991446713790356,1.5991446713790356,0,0,0,1,1
79,BD4 0HQ,419607,430917,E02002234,53.774225,-1.703979,1.8626982256930298,1.8626982256930298,1.8626982256930298,0,0,0,0,1
80,BD4 0HR,419408,430751,E02002234,53.772741,-1.707009,1.6523912611727172,1.6523912611727172,1.6523912611727172,0,0,0,0,1
81,BD4 0HS,419387,430705,E02002234,53.772328,-1.70733,1.6308009933771692,1.6308009933771692,1.6308009933771692,0,0,0,0,1
82,BD4 0HT,419317,430708,E02002234,53.772357,-1.708392,1.5608004613018167,1.5608004613018167,1.5608004613018167,0,0,0,1,1
83,BD4 0HU,419295,430676,E02002234,53.772071,-1.708728,1.5391082093212172,1.5391082093212172,1.5391082093212172,0,0,0,1,1
84,BD4 0HW,419300,430700,E02002234,53.772286,-1.70865,1.5438149759605144,1.5438149759605144,1.5438149759605144,0,0,0,1,1
85,BD4 0HX,419308,430638,E02002234,53.771729,-1.708533,1.5533243962546788,1.5533243962546788,1.5533243962546788,0,0,0,1,1
86,BD4 0HY,419313,430570,E02002234,53.771117,-1.708461,1.5627989250060166,1.5627989250060166,1.5627989250060166,0,0,0,1,1
87,BD4 0HZ,419327,430532,E02002234,53.770775,-1.708251,1.5804960234052976,1.5804960234052976,1.5804960234052976,0,0,0,1,1
88,BD4 0JA,419303,430520,E02002234,53.770668,-1.708616,1.5580386644752946,1.5580386644752946,1.5580386644752946,0,0,0,1,1
89,BD4 0JB,419308,430476,E02002234,53.770273,-1.708543,1.5688696185470477,1.5688696185470477,1.5688696185470477,0,0,0,1,1
90,BD4 0JE,419230,430422,E02002234,53.76979,-1.70973,1.501065448273312,1.501065448273312,1.501065448273312,0,0,0,1,1
91,BD4 0JF,419363,430420,E02002234,53.769767,-1.707712,1.632194988351562,1.632194988351562,1.632194988351562,0,0,0,0,1
92,BD4 0JG,419233,430448,E02002234,53.770024,-1.709683,1.499305065688754,1.499305065688754,1.499305065688754,0,0,0,1,1
93,BD4 0JN,419557,430387,E02002234,53.769463,-1.704771,1.8289758554994517,1.8289758554994517,1.8289758554994517,0,0,0,0,1
94,BD4 0JP,419518,430428,E02002234,53.769833,-1.70536,1.7837232632894466,1.7837232632894466,1.7837232632894466,0,0,0,0,1
95,BD4 0JQ,419352,430471,E02002234,53.770241,-1.707879,1.613127174155825,1.613127174155825,1.613127174155825,0,0,0,0,1
96,BD4 0JR,419400,430400,E02002234,53.769586,-1.707152,1.6721855997466173,1.6721855997466173,1.6721855997466173,0,0,0,0,1
97,BD4 0JS,419470,430478,E02002234,53.770285,-1.706085,1.729005459794721,1.729005459794721,1.729005459794721,0,0,0,0,1
98,BD4 0JT,419459,430512,E02002234,53.770591,-1.70625,1.7139063218274082,1.7139063218274082,1.7139063218274082,0,0,0,0,1
99,BD4 0JU,419425,430494,E02002234,53.77043,-1.706767,1.6823130743116623,1.6823130743116623,1.6823130743116623,0,0,0,0,1
100,BD4 0JW,419543,430412,E02002234,53.769689,-1.704982,1.810955902279222,1.810955902279222,1.810955902279222,0,0,0,0,1
