PU_ID,pcd,oseast1m,osnrth1m,msoa01,lat,long
1,BD4 0AA,419241,0430948,E02002234,53.774517,-1.70953
2,BD4 0AB,419321,0430957,E02002234,53.774595,-1.708316
3,BD4 0AD,419412,0430941,E02002234,53.774448,-1.706936
4,BD4 0AE,419465,0431052,E02002234,53.775444,-1.706125
5,BD4 0AF,419537,0431030,E02002234,53.775243,-1.705034
6,BD4 0AG,419710,0431137,E02002234,53.776199,-1.702402
7,BD4 0AH,419514,0431116,E02002234,53.776017,-1.705377
8,BD4 0AJ,419500,0431100,E02002234,53.775874,-1.705591
9,BD4 0AL,419500,0431100,E02002234,53.775874,-1.705591
10,BD4 0AN,419500,0431100,E02002234,53.775874,-1.705591
11,BD4 0AP,419294,0431783,E02002234,53.78202,-1.708674
12,BD4 0AQ,419450,0431073,E02002234,53.775633,-1.706351
13,BD4 0AR,419600,0431100,E02002234,53.77587,-1.704073
14,BD4 0AT,419735,0431205,E02002234,53.776809,-1.702018
15,BD4 0AU,419600,0431100,E02002234,53.77587,-1.704073
16,BD4 0AW,419500,0431100,E02002234,53.775874,-1.705591
17,BD4 0AX,419249,0431833,E02002234,53.782471,-1.709354
18,BD4 0AY,419227,0431804,E02002234,53.782211,-1.70969
19,BD4 0AZ,419583,0431170,E02002234,53.7765,-1.704327
20,BD4 0BB,419407,0431143,E02002234,53.776264,-1.706999
21,BD4 0BD,419355,0431107,E02002234,53.775942,-1.707791
22,BD4 0BE,419396,0431108,E02002234,53.77595,-1.707168
23,BD4 0BG,419380,0431056,E02002234,53.775483,-1.707414
24,BD4 0BH,419266,0431028,E02002234,53.775235,-1.709146
25,BD4 0BJ,419225,0431293,E02002234,53.777619,-1.709752
26,BD4 0BL,419256,0431244,E02002234,53.777177,-1.709284
27,BD4 0BQ,419349,0431017,E02002234,53.775134,-1.707887
28,BD4 0BS,419292,0431250,E02002234,53.77723,-1.708738
29,BD4 0BT,419329,0431231,E02002234,53.777058,-1.708177
30,BD4 0BU,419355,0431250,E02002234,53.777227,-1.707782
